date,High,Low,Open,Close,Adj Close,Volume
05-10-2020 23:59,55.11235847,49.78789992,52.67503496,53.21924296,89128128.86,0
06-10-2020 23:59,53.40227002,40.73457791,53.29196931,42.40159861,71011441.25,583091.4598
07-10-2020 23:59,42.40831364,35.97068975,42.39994711,40.08397561,67130036.9,682834.1863
08-10-2020 23:59,44.90251114,36.69605677,39.88526234,43.76446306,220265142.1,1658816.923
09-10-2020 23:59,47.56953274,43.2917758,43.76446306,46.81774415,235632208.2,815537.6608
10-10-2020 23:59,51.4056548,46.70332768,46.81814554,49.13371767,247288428.8,1074627.028
11-10-2020 23:59,51.45337431,48.71603954,49.13312951,49.66072573,249940843.4,692150.6009
12-10-2020 23:59,54.42141763,48.75407708,49.66157329,52.23869222,262915666.3,1354836.065
13-10-2020 23:59,57.48190422,49.59873521,52.23839242,51.12431679,257307050.4,1386221.207
14-10-2020 23:59,57.85394649,49.62952942,51.37289869,51.31651791,258274392.5,3132405.422
15-10-2020 23:59,52.08068541,44.01832531,51.38760962,44.01918294,221547139.1,5883146.063
16-10-2020 23:59,43.90673033,39.14295677,42.89060653,39.49584426,365071463.3,52855204.94
17-10-2020 23:59,43.07737327,38.63361292,39.48619161,41.36699325,382367032.3,43339687.25
18-10-2020 23:59,41.7494876,39.53158618,41.38959771,40.74697166,376635994.1,40441163.46
19-10-2020 23:59,40.9951837,35.95136399,40.83675675,36.01231739,332872221.2,49289896.51
20-10-2020 23:59,36.31907005,32.1010995,36.04378522,32.18001748,297449169.5,60632325.59
21-10-2020 23:59,37.07820274,32.04814912,32.25348971,35.16035652,324997301.5,43831234.96
22-10-2020 23:59,39.85692062,33.58946348,35.09748742,38.03165056,402396251.5,54717366.38
23-10-2020 23:59,42.54665591,36.92467124,37.73059438,41.68663736,445257058,76081859.91
24-10-2020 23:59,42.43970617,38.72882165,41.68663733,39.45502214,421421064.3,57658170.29
25-10-2020 23:59,40.92850939,37.60120084,39.45502214,37.90476078,404862645.2,43970451.96
26-10-2020 23:59,39.16386433,35.07196756,37.90476254,36.03392191,384880121.6,50307222.85
27-10-2020 23:59,38.86918184,34.46963521,36.0339136,34.87153083,372464564.4,58581307.85
28-10-2020 23:59,35.56402236,32.00005907,34.87153639,32.39408292,346002819.3,60533866.83
29-10-2020 23:59,33.1554836,28.24077345,32.39408189,29.09833402,310800760.6,66304785.65
30-10-2020 23:59,31.98077334,27.79246068,29.09834147,31.21782294,350090548.4,77280723.59
31-10-2020 23:59,32.90016101,29.61025941,31.21782294,29.70751775,333516029.3,58631071.61
01-11-2020 23:59,31.0670602,28.49448212,29.70751776,30.65727643,345465544,49568339.16
02-11-2020 23:59,33.92358529,29.34464956,30.65728227,29.73152358,335349717.5,87180146.47
03-11-2020 23:59,30.06291681,27.53711073,29.73152554,28.04280321,316455541.6,56775011.6
04-11-2020 23:59,28.4330692,26.08951824,28.04297069,27.71508436,313021334.6,50464690.51
05-11-2020 23:59,32.3030396,25.96615498,27.7150798,30.95562668,350205472.9,85212411.64
06-11-2020 23:59,40.76907497,30.8551283,30.95511845,38.45744081,435876358.2,147304661
07-11-2020 23:59,51.42799241,38.45744081,38.45744081,44.60489962,507707213.2,200580053.6
08-11-2020 23:59,54.78636021,42.86425511,44.60489961,53.74937894,613014913.9,174706008.6
09-11-2020 23:59,58.36411095,49.86012895,53.74937384,54.88649964,626843328.1,386011347.7
10-11-2020 23:59,70.30982523,53.17903589,54.88650532,67.00111098,780700254.1,433793206.5
11-11-2020 23:59,68.77859822,53.71675388,67.00111108,54.69964668,638025534.6,354136841.3
