date,Open,High,Low,Close,Adj Close,Volume
16-06-2018,14.9363,15.9814,14.9363,15.8092,15.8092,81354704
17-06-2018,15.779,17.232599,15.7641,16.5788,16.5788,107346000
18-06-2018,16.6217,17.1863,16.221201,16.8797,16.8797,106776000
19-06-2018,16.7801,16.9368,16.208,16.6996,16.6996,80738096
20-06-2018,16.760799,16.863199,15.7411,16.061899,16.061899,65190300
21-06-2018,16.072201,17.268299,15.9165,17.053301,17.053301,122980000
22-06-2018,17.0714,17.2437,15.2608,15.5939,15.5939,113751000
23-06-2018,15.6017,16.0592,15.3647,15.5512,15.5512,70431104
24-06-2018,15.5709,15.5946,13.5444,14.4476,14.4476,96256304
25-06-2018,14.457,15.0659,13.8339,14.9209,14.9209,60358000
26-06-2018,14.9329,14.9852,13.8678,14.12,14.12,37503400
27-06-2018,14.0672,14.3056,13.8941,14.0501,14.0501,44136600
28-06-2018,14.0309,14.7498,13.8608,14.1246,14.1246,67290496
29-06-2018,14.1743,14.6469,13.7797,14.5086,14.5086,52784600
30-06-2018,14.5491,15.1824,14.2915,14.6573,14.6573,59676900
01-07-2018,14.6762,14.6869,14.1442,14.4041,14.4041,38434400
02-07-2018,14.3977,14.823,14.057,14.5706,14.5706,55614000
03-07-2018,14.5634,14.7847,14.0759,14.1715,14.1715,60657300
04-07-2018,14.2262,14.3288,13.908,14.0055,14.0055,37043700
05-07-2018,14.0396,14.1391,13.652,13.8505,13.8505,41185300
06-07-2018,13.9761,13.9864,13.2766,13.5296,13.5296,33466000
07-07-2018,13.5409,14.4048,13.4259,14.4048,14.4048,79974896
08-07-2018,14.3979,14.4223,13.9345,13.9919,13.9919,60275400
09-07-2018,14.0384,14.0883,13.6341,13.6645,13.6645,36874000
10-07-2018,13.6144,13.6607,12.6719,12.7613,12.7613,36507100
11-07-2018,12.8249,12.8866,12.2516,12.7049,12.7049,38867700
12-07-2018,12.6919,12.7735,11.9016,12.0706,12.0706,26008100
13-07-2018,12.0935,12.4332,12.0434,12.1801,12.1801,29709900
14-07-2018,12.193,12.2735,11.9691,12.0965,12.0965,21534200
15-07-2018,12.0883,12.3967,12.0185,12.2891,12.2891,26346900
16-07-2018,12.3099,13.3857,12.2029,13.2373,13.2373,47198600
17-07-2018,13.3579,13.8934,12.8698,13.7128,13.7128,74443200
18-07-2018,13.7399,13.8572,12.7239,12.8648,12.8648,75446304
19-07-2018,12.8251,13.3511,12.7696,12.918,12.918,49364800
20-07-2018,12.9185,12.971,11.8856,12.0709,12.0709,40466000
21-07-2018,12.0747,12.4556,11.9021,12.1853,12.1853,28726700
22-07-2018,12.1888,12.274,11.9627,12.1199,12.1199,20692400
23-07-2018,12.1368,12.3381,11.9129,12.0199,12.0199,28137700
24-07-2018,12.0222,12.2462,11.6484,12.1451,12.1451,46762700
25-07-2018,12.087,13.4667,12.0793,12.9394,12.9394,72083200
26-07-2018,12.9215,13.5521,12.9115,13.3973,13.3973,61881400
27-07-2018,13.3925,14.0335,13.0581,13.9227,13.9227,66040700
28-07-2018,14.0256,14.8694,13.7223,14.6017,14.6017,75159904
29-07-2018,14.5981,14.6984,13.66,14.0212,14.0212,56547100
30-07-2018,13.9477,13.9477,13.0665,13.2169,13.2169,35991600
31-07-2018,13.2111,14.0643,13.0368,13.7754,13.7754,66537000
01-08-2018,13.7696,14.062,13.2341,13.5739,13.5739,53833700
02-08-2018,13.6308,14.184,13.4064,14.1769,14.1769,50481200
03-08-2018,14.088,14.2059,13.6405,14.1346,14.1346,70449300
04-08-2018,14.1127,14.4551,13.5691,13.8424,13.8424,60865200
05-08-2018,13.8587,13.8978,13.2875,13.6232,13.6232,43000300
06-08-2018,13.6876,13.9757,13.4964,13.6991,13.6991,46799600
07-08-2018,13.6585,13.9088,13.1286,13.1461,13.1461,45119500
08-08-2018,13.1289,13.1392,11.9807,12.1437,12.1437,44898500
09-08-2018,12.1616,12.8719,12.1001,12.858,12.858,41389000
10-08-2018,12.7681,12.8211,11.8073,12.1308,12.1308,37026400
11-08-2018,12.1106,12.1588,11.3686,11.7366,11.7366,29253100
12-08-2018,11.6876,11.8647,11.5047,11.7418,11.7418,23290300
13-08-2018,11.7712,11.9467,10.1841,10.2282,10.2282,34827100
14-08-2018,10.3045,10.3045,8.66266,9.42011,9.42011,39515200
15-08-2018,9.40796,10.5918,9.40321,9.46301,9.46301,42994900
16-08-2018,9.53052,9.98495,9.39382,9.80233,9.80233,24709700
17-08-2018,9.7823,10.8678,9.72495,10.8678,10.8678,37502400
18-08-2018,10.7849,10.9651,9.54027,9.90758,9.90758,27803700
19-08-2018,9.92142,10.3006,9.75401,10.1562,10.1562,21218500
20-08-2018,10.1417,10.2038,9.64362,9.70093,9.70093,17617700
21-08-2018,9.68034,9.84815,9.42483,9.71463,9.71463,13228100
22-08-2018,9.73594,10.1964,9.25728,9.53973,9.53973,23929500
23-08-2018,9.49895,9.71504,9.40262,9.71504,9.71504,17327500
24-08-2018,9.76352,10.2347,9.56229,10.2347,10.2347,22814900
25-08-2018,10.1933,10.2488,9.98287,10.1358,10.1358,19561400
26-08-2018,10.1142,10.2742,9.80865,10.1856,10.1856,22551200
27-08-2018,10.219,11.3356,10.1278,11.2128,11.2128,44953500
28-08-2018,11.1607,11.4996,10.8415,11.4861,11.4861,43860800
29-08-2018,11.471,11.471,10.9075,11.1735,11.1735,33530600
30-08-2018,11.1692,11.1867,10.3848,10.7626,10.7626,23247800
31-08-2018,10.7602,11.0225,10.5958,11.0138,11.0138,22638200
01-09-2018,11.0266,11.5423,11.0266,11.3794,11.3794,29776300
02-09-2018,11.4334,11.4638,11.1361,11.2994,11.2994,21757400
03-09-2018,11.3459,11.4092,11.1103,11.2611,11.2611,18644300
04-09-2018,11.3104,11.4232,11.2624,11.3592,11.3592,18878700
05-09-2018,11.4098,11.5365,10.0866,10.0866,10.0866,29308300
06-09-2018,10.0535,10.3016,9.62191,10.2842,10.2842,23466000
07-09-2018,10.2648,10.2697,9.86944,10.0373,10.0373,16640400
08-09-2018,10.0328,10.1943,9.4137,9.52008,9.52008,15053100
09-09-2018,9.54872,9.72737,9.27243,9.51263,9.51263,13947300
10-09-2018,9.57601,9.70806,9.37306,9.52487,9.52487,12427900
11-09-2018,9.52199,9.60542,9.22733,9.37396,9.37396,18572100
12-09-2018,9.38555,9.48019,9.03731,9.21443,9.21443,21323500
13-09-2018,9.22455,9.69404,9.21765,9.60406,9.60406,24817100
14-09-2018,9.63682,10.086,9.54633,9.93005,9.93005,26124800
15-09-2018,9.90464,10.196,9.90464,10.1103,10.1103,27281100
16-09-2018,10.1164,10.1274,9.77638,9.93602,9.93602,20623100
17-09-2018,9.94973,10.0118,9.31664,9.40526,9.40526,22370800
18-09-2018,9.39057,9.63503,9.27657,9.54406,9.54406,23016100
19-09-2018,9.55671,9.77605,9.31497,9.61909,9.61909,22684800
20-09-2018,9.6337,10.0976,9.60249,10.0745,10.0745,27983700
21-09-2018,10.0604,10.4354,9.96279,10.4108,10.4108,35228200
22-09-2018,10.4196,10.5281,9.96642,10.245,10.245,21731800
23-09-2018,10.2729,10.3656,10.1575,10.2806,10.2806,22673000
24-09-2018,10.2914,10.3174,9.93912,10.0359,10.0359,19223700
25-09-2018,10.0342,10.0342,9.50621,9.78316,9.78316,19256100
26-09-2018,9.78101,9.9033,9.58877,9.73663,9.73663,18370400
27-09-2018,9.73624,10.0769,9.67226,10.0312,10.0312,26966900
28-09-2018,10.0429,10.2272,9.89132,9.96934,9.96934,25097900
29-09-2018,9.95669,10.0324,9.75708,9.99914,9.99914,26072400
30-09-2018,10.0034,10.0356,9.85336,10.0178,10.0178,26954000
01-10-2018,10.0097,10.05,9.88155,9.94366,9.94366,25138500
02-10-2018,9.93614,10.6069,9.88016,10.3568,10.3568,41386000
03-10-2018,10.3286,10.444,10.0644,10.2712,10.2712,38371900
04-10-2018,10.2866,10.3936,10.2214,10.2556,10.2556,32534900
05-10-2018,10.2513,10.7151,10.2399,10.6362,10.6362,40756200
06-10-2018,10.6451,10.7457,10.2988,10.3721,10.3721,30941000
07-10-2018,10.3992,10.5317,10.2966,10.519,10.519,32205000
08-10-2018,10.5321,10.6321,10.4589,10.5066,10.5066,31932700
09-10-2018,10.5359,10.5735,10.227,10.3849,10.3849,27881100
10-10-2018,10.359,10.4012,10.2059,10.328,10.328,26141100
11-10-2018,10.3097,10.3097,9.25362,9.30132,9.30132,26084400
12-10-2018,9.28074,9.66181,9.23651,9.52894,9.52894,26099400
13-10-2018,9.49206,9.62708,9.47779,9.54036,9.54036,24253100
14-10-2018,9.54636,9.6416,9.4658,9.49674,9.49674,22974000
15-10-2018,9.48123,10.4415,9.41809,10.3161,10.3161,52331400
16-10-2018,10.3213,10.3267,9.91639,10.0109,10.0109,30719200
17-10-2018,10.0256,10.0281,9.81882,9.90447,9.90447,35325400
18-10-2018,9.92504,9.95905,9.63745,9.71658,9.71658,29790800
19-10-2018,9.71767,9.79014,9.63144,9.76675,9.76675,24658400
20-10-2018,9.75728,9.78968,9.68127,9.75463,9.75463,23972200
21-10-2018,9.75773,9.86743,9.68441,9.7433,9.7433,25790200
22-10-2018,9.72141,9.84327,9.65099,9.72685,9.72685,27599800
23-10-2018,9.70276,9.86236,9.67603,9.80308,9.80308,30852200
24-10-2018,9.78231,9.82127,9.71224,9.74532,9.74532,26652600
25-10-2018,9.73369,9.75216,9.64398,9.69228,9.69228,25207400
26-10-2018,9.67556,9.73187,9.62116,9.70268,9.70268,24495800
27-10-2018,9.70157,9.73324,9.63451,9.65445,9.65445,22943000
28-10-2018,9.67439,9.71415,9.59449,9.66679,9.66679,24760500
29-10-2018,9.63989,9.68144,9.34434,9.40262,9.40262,24583200
30-10-2018,9.40462,9.46888,9.35219,9.38704,9.38704,24305700
31-10-2018,9.40072,9.41892,9.30769,9.36496,9.36496,21398200
01-11-2018,9.37131,9.62546,9.3402,9.54922,9.54922,19690100
02-11-2018,9.53071,9.6064,9.47672,9.57308,9.57308,21304800
03-11-2018,9.58524,9.62814,9.49037,9.53021,9.53021,19663500
04-11-2018,9.53192,9.73599,9.49254,9.62754,9.62754,24079700
05-11-2018,9.58928,9.76667,9.57942,9.67251,9.67251,21103300
06-11-2018,9.70867,9.78179,9.61637,9.78081,9.78081,24810200
07-11-2018,9.80222,9.88388,9.77301,9.81693,9.81693,23433700
08-11-2018,9.81223,9.83448,9.61666,9.65095,9.65095,21877100
09-11-2018,9.6413,9.66688,9.48849,9.5542,9.5542,18859800
10-11-2018,9.5469,9.6368,9.51286,9.55752,9.55752,18550600
11-11-2018,9.5664,9.57967,9.35249,9.466,9.466,18889600
12-11-2018,9.48597,9.51817,9.27437,9.36122,9.36122,19452700
13-11-2018,9.37084,9.46836,9.18525,9.24841,9.24841,17068400
14-11-2018,9.21917,9.22747,8.14016,8.40701,8.40701,19518100
15-11-2018,8.41463,8.46082,7.74579,8.18486,8.18486,19131700
16-11-2018,8.18308,8.21442,7.79863,7.88448,7.88448,18869500
17-11-2018,7.89744,7.9028,7.60671,7.7182,7.7182,16973900
18-11-2018,7.7385,8.02665,7.72815,7.99976,7.99976,13784000
19-11-2018,7.99946,8.00608,6.60456,6.63209,6.63209,21567100
20-11-2018,6.61242,6.76336,5.5529,5.76021,5.76021,25989200
21-11-2018,5.79833,6.20448,5.56505,6.19905,6.19905,14208800
22-11-2018,6.20713,6.23494,5.75555,5.75555,5.75555,9885300
23-11-2018,5.73573,5.77229,5.41849,5.55743,5.55743,9943370
24-11-2018,5.55686,5.66568,4.71918,5.11528,5.11528,11938900
25-11-2018,5.08501,5.28149,4.44223,5.18058,5.18058,12236300
26-11-2018,5.1793,5.25581,4.67141,4.92645,4.92645,10132300
27-11-2018,4.9059,4.94555,4.68032,4.91305,4.91305,9050190
28-11-2018,4.89919,5.47407,4.89919,5.33696,5.33696,15392800
29-11-2018,5.353574,5.600017,5.145492,5.346633,5.346633,13027940
30-11-2018,5.368157,5.43155,4.95072,5.078572,5.078572,10699024
01-12-2018,5.086695,5.420366,5.010767,5.288723,5.288723,12291155
02-12-2018,5.273153,5.425089,5.196664,5.250417,5.250417,11848313
